Company,Image,employerprofile_employerrating_lq_zl,jobcard_seolink_r4hue_URL,Title,Location,Salary,Description,Salary1,mlxsm,Description2,dflex
"Systems Planning and Analysis, Inc.4.3 ★",https://media.glassdoor.com/sql/132662/systems-planning-and-analysis-inc-squareLogo-1694085670526.png,4.3 ★,"https://www.glassdoor.com/job-listing/senior-data-scientist-targeting-analyst-systems-planning-and-analysis-inc-JV_KO0,39_KE40,73.htm?jl=1008870940298",Senior Data Scientist / Targeting Analyst,"Fort Meade, MD",$93K - $139K (Glassdoor est.),"The candidate will support USCYBERCOM by performing exploitation analysis and data science functions, especially as they relate to access generation.…",(Glassdoor est.),,data,30d+
Smart Steel Technologies GmbH4.1 ★,https://media.glassdoor.com/sql/2852372/smart-steel-technologies-squarelogo-1559729040894.png,4.1 ★,"https://www.glassdoor.com/job-listing/data-scientist-all-genders-smart-steel-technologies-gmbh-JV_KO0,26_KE27,56.htm?jl=1008928915906",Data Scientist (all genders),"Cincinnati, OH",$58K - $90K (Glassdoor est.),At least 3 years experience in a similar field. You need a valid passport or work permit for the United States.…,(Glassdoor est.),Easy Apply,,6d
Forthea4.6 ★,https://media.glassdoor.com/sql/605078/forthea-squarelogo-1589998239793.png,4.6 ★,"https://www.glassdoor.com/job-listing/data-scientist-forthea-JV_KO0,14_KE15,22.htm?jl=1007769320044",Data Scientist,"Houston, TX",$69K - $102K (Glassdoor est.),"Lead technical development of cutting-edge analytics and decision support tools. Work with datasets and develop solutions (i.e., methodology and algorithms) for……",(Glassdoor est.),Easy Apply,,30d+
Mammoth Freighters,https://media.glassdoor.com/sql/7875117/mammoth-freighters-squarelogo-1666329920019.png,,"https://www.glassdoor.com/job-listing/senior-data-analyst-mammoth-freighters-JV_KO0,19_KE20,38.htm?jl=1008918237207",Senior Data Analyst,Remote,,"Effective communication skills to collaborate with technical and non-technical stakeholders. Bachelor's degree in a relevant field such as Engineering, Supply……",,Easy Apply,,12d
Slesha,,,"https://www.glassdoor.com/job-listing/sr-data-scientist-slesha-JV_KO0,17_KE18,24.htm?jl=1008910130769",Sr. Data Scientist,Remote,$64.00 - $70.00 Per Hour (Employer est.),"Implement data privacy and data engineering solutions using Azure products and services: (Azure Data Lake Storage, Azure Data Factory, Azure Functions, Event……",(Employer est.),Easy Apply,data,17d
Bristol Myers Squibb3.8 ★,https://media.glassdoor.com/sql/107/bristol-myers-squibb-squarelogo-1584450759008.png,3.8 ★,"https://www.glassdoor.com/job-listing/associate-director-translational-data-science-bristol-myers-squibb-JV_KO0,45_KE46,66.htm?jl=1008923156035",Associate Director Translational Data Science,"Brisbane, CA",$115K - $160K (Glassdoor est.),"Along with programming proficiency, you must show a strong capacity for independent thinking, care about the underlying biological questions and the advancement……",(Glassdoor est.),,,10d
CORMAC3.4 ★,https://media.glassdoor.com/sql/441229/cormac-squarelogo-1446012505044.png,3.4 ★,"https://www.glassdoor.com/job-listing/data-scientist-cormac-JV_KO0,14_KE15,21.htm?jl=1008855600339",Data Scientist,Remote,,"Design and develop a machine learning platform to train, manage data, evaluate, deploy models and to make and monitor predictions.…",,Easy Apply,data,30d+
"Pathward, N.A.4.2 ★",https://media.glassdoor.com/sql/315555/pathward-squareLogo-1683320001846.png,4.2 ★,"https://www.glassdoor.com/job-listing/data-scientist-sr-pathward-n-a-JV_KO0,17_KE18,30.htm?jl=1008870241671","Data Scientist, Sr",Remote,$83K - $153K (Employer est.),"Develop insights from historical performance data, identify opportunities, and develop solutions using various analytical techniques.…",(Employer est.),,data,30d+
TikTok3.5 ★,https://media.glassdoor.com/sql/2230881/tiktok-squarelogo-1539940701771.png,3.5 ★,"https://www.glassdoor.com/job-listing/data-scientist-tiktok-ads-brand-innovation-tiktok-JV_KO0,42_KE43,49.htm?jl=1007774242405","Data Scientist- TikTok Ads, Brand Innovation","Mountain View, CA",$153K - $296K (Employer est.),"Apply technical expertise with quantitative analysis, experimentation, data mining, and the presentation of data to develop strategies for our products that……",(Employer est.),,data,30d+
Grid,,,"https://www.glassdoor.com/job-listing/data-scientist-grid-JV_KO0,14_KE15,19.htm?jl=1008284800256",Data Scientist,"San Francisco, CA",$104K - $152K (Glassdoor est.),"3+ years of professional experience in a data science or data engineering role or a PhD in a relevant field. In this role, you will use analytical, statistical,……",(Glassdoor est.),,data,30d+
Keystone Strategy4 ★,https://media.glassdoor.com/sql/270518/keystone-strategy-squarelogo-1475631436794.png,4 ★,"https://www.glassdoor.com/job-listing/data-scientist-keystone-strategy-JV_KO0,14_KE15,32.htm?jl=1008248703166",Data Scientist,"Boston, MA",$97K - $198K (Employer est.),"Professional or academic experience in data science, software development, or a related field. Degree in Computer Science, Engineering, Mathematics, Statistics,……",(Employer est.),,data,30d+
IT Consulting Services4.5 ★,https://media.glassdoor.com/sql/286511/it-consulting-services-squarelogo.png,4.5 ★,"https://www.glassdoor.com/job-listing/data-scientist-it-consulting-services-JV_KO0,14_KE15,37.htm?jl=1008881453589",Data Scientist,Pennsylvania,,"IT Consulting Services Inc seeks Data Scientist for Fairless, PA office to apply algorithms to models predict outcomes of interest such as health,……",,,Data,30d+
AIPSO3.7 ★,https://media.glassdoor.com/sql/741935/aipso-squarelogo-1481829288046.png,3.7 ★,"https://www.glassdoor.com/job-listing/aio-data-analyst-sr-aio-data-analyst-aipso-JV_KO0,36_KE37,42.htm?jl=1008860199610",AIO Data Analyst/Sr. AIO Data Analyst,"Johnston, RI",$60K - $82K (Glassdoor est.),"Use statistical methods, modeling, analytical methodologies, and data analysis to develop and deploy tools. Bachelor's degree (BA/BS) majoring in mathematics,……",(Glassdoor est.),Easy Apply,data,30d+
